ID1 ID2 Start End Label
[0,1] ;2 ;1251 ;InGroup OK
[2] [0,1] ;1080 ;1251 ;Approach OK
[0,1,2] ;1251 ;2053 ;InGroup //(2 joins) OK
[3] [0,1,2] ;1951 ;2053 ;Approach OK
[4] [0,1,2] ;1978 ;2111 ;Approach OK
[3,4] ;1978 ;2053 ;WalkTogether OK
[0,1,2,3] ;2053 ;2111 ;InGroup //(3) OK
[0,1,2,3,4] ;2111 ;2335 ;InGroup //(4) FIXED
[0,1,2,3] [4] ;2335 ;2385 ;Split
[0,1,2,3] ;2335 ;2802 ;InGroup //(3) ADDED
[0,1,2,3] [4] ;2385 ;2704 ;Ignore
[0,1,2,3] [4] ;2704 ;2802 ;Approach
[0,1,2,3,4] ;2802 ;3912 ;InGroup //(4)
[0,2] [1,3,4] ;3932 ;4035 ;Split // FIXED
[1,3,4] ;3932 ;3959 ;InGroup // FIXED
[0,2] ;3929 ;4098 ;WalkTogether
[1,3,4] ;3959 ;4049 ;WalkTogether
[2] [0,1] ;5116 ;5135 ;Approach
[2,3,4] ;5135 ;5260 ;WalkTogether
[2,3,4] [0,1] ;5135 ;5260 ;Approach
[0,1,2,3,4] ;5260 ;5826 ;InGroup //(groups merge)
[0,1,2] [3,4] ;5826 ;5926 ;Split
[0,1,2] ;5826 ;6114 ;WalkTogether
[3,4] ;5826 ;5926 ;WalkTogether
[1] [0] ;6293 ;6384 ;Following
[0,1,2] ;6653 ;6968 ;WalkTogether
[0,1,2] [3] ;6924 ;6937 ;Approach
[3,4] ;6937 ;6968 ;WalkTogether
[0,1,2] [3,4] ;6937 ;6968 ;Approach
[0,1,2,3,4] ;6968 ;7381 ;InGroup //(merge)
[0,2,3,4] [1] ;7381 ;7455 ;Split //(1 leaves)
[0,2,3,4] ;7381 ;8124 ;InGroup //(1 left)
[0,2,3,4] [1] ;7999 ;8124 ;Approach //(1 approaches)
[0,1,2,3,4] ;8124 ;8364 ;InGroup //(1 joins)
[0,1,2,3,4] ;8364 ;8457 ;WalkTogether
[0,1,2,3,4] ;8457 ;9055 ;InGroup
[0,1,2,3,4] ;9055 ;9156 ;WalkTogether
[0,1,2,3,4] ;9156 ;9232 ;InGroup
[0,2] [1,3,4] ;9232 ;9390 ;Split
[0,2] ;9232 ;9305 ;WalkTogether
[1,3,4] ;9232 ;9479 ;WalkTogether
[0,2] ;9305 ;9390 ;InGroup
[0,2] ;9390 ;9479 ;WalkTogether
[0,2] [1,3,4] ;9390 ;9479 ;Approach
[0,1,2,3,4] ;9479 ;9556 ;InGroup //(merge)
[1,2,3,4] ;9556 ;10327 ;InGroup //(0 leaves)
[0] [1,2,3,4] ;9556 ;9820 ;Split //(0 leaves)
[0] [1,2,3,4] ;9981 ;10327 ;Approach
[0] [5] ;10174 ;10247 ;Approach
[0,1,2,3,4] ;10327 ;10836 ;InGroup
[1,4] [0,2,3] ;10836 ;10917 ;Split
[1] [0,2,3] ;10836 ;10930 ;Split
[1,4] ;10836 ;10917 ;WalkTogether
[0,2,3] ;10836 ;11113 ;WalkTogether
[0,1] ;11565 ;11854 ;WalkTogether
[0,1] [2,3,4] ;11800 ;11930 ;Approach
[0,1] ;11855 ;11944 ;InGroup
[2,3,4] ;11760 ;11944 ;WalkTogether
[0,1,2,3,4] ;11944 ;13047 ;InGroup //(merge groups)
[0,1,2,3] ;13047 ;13133 ;InGroup //(merge groups)
[4] [0,2,3] ;13047 ;13236 ;Split //(merge groups)
[1] [0,2,3] ;13133 ;13236 ;Split //(merge groups)
[0,2,3] ;13133 ;14337 ;InGroup //(merge groups)
[1,4] ;13669 ;13929 ;WalkTogether
[1] [0,2,3] ;14249 ;14336 ;Approach
[4] [0,2,3] ;14249 ;14336 ;Approach
[0,1,2,3,4] ;14350 ;15116 ;InGroup
[2] [1,3,4] ;15116 ;15273 ;Split
[0] [1,3,4] ;15153 ;15273 ;Split
[1,3,4] ;15116 ;16612 ;InGroup
[0,2] ;15692 ;15951 ;WalkTogether
[0,2] ;16499 ;16612 ;WalkTogether
[0,2] [1,3,4] ;16499 ;16612 ;Approach
[0,1,2,3,4] ;16612 ;17217 ;InGroup
[3,4] ;17272 ;17394 ;WalkTogether
[1] [4] ;17272 ;17416 ;Following
[0,2] ;17287 ;17386 ;WalkTogether
[0,2] [1,3,4] ;17270 ;17350 ;Split
[0,1] ;18047 ;18059 ;WalkTogether
[0,1,2] ;18059 ;18312 ;WalkTogether
[3,4] ;18158 ;18434 ;WalkTogether
[1,2] ;18312 ;18318 ;WalkTogether
[0,1] ;19250 ;19476 ;WalkTogether
[2,3,4] ;19364 ;19662 ;WalkTogether
[1,2,3] ;20167 ;20503 ;WalkTogether
[1,2,3] [0] ;20467 ;20503 ;Approach
[0,1,2,3] ;20503 ;20790 ;InGroup
[0,1,2,3] [4] ;20776 ;20790 ;Approach //(4 approaches)
[0,1,2,3,4] ;20790 ;20799 ;InGroup
[0,1,3,4] [2] ;20799 ;20880 ;Split
[0,1,3,4] ;20799 ;21538 ;InGroup //(2 leaves)
[0,1,3,4] [2] ;21425 ;21538 ;Approach
[0,1,2,3,4] ;21538 ;22470 ;InGroup //(2 joins)
[0,1,2,3,4] ;21538 ;22470 ;InGroup //(2 joins)
[3] [1,2] ;22510 ;22600 ;Split //(2 joins)
[1,2] ;22510 ;22860 ;WalkTogether //(2 joins)
[1,2] ;23314 ;23640 ;WalkTogether //(2 joins)
[3,4] ;23314 ;23680 ;WalkTogether //(2 joins)
[0,4] ;24454 ;24678 ;WalkTogether
[1,2] ;24791 ;25091 ;WalkTogether
[0,1] ;25544 ;25825 ;WalkTogether
[2,4] ;25690 ;26019 ;WalkTogether
[0,1] ;26759 ;26924 ;WalkTogether
[0,1] [2,3,4] ;26853 ;26924 ;Approach
[2,3,4] ;26853 ;26953 ;InGroup
[2,3,4] [0,1] ;26853 ;26924 ;Approach
[0,1,2,3,4] ;26953 ;29989 ;InGroup
[2,3,4] ;29989 ;30181 ;InGroup
[2,3] [4] ;30220 ;30320 ;Split
[2,3] ;30233 ;30399 ;WalkTogether
[1] [0] ;30446 ;30680 ;Following // too far, maybe
[3] [2] ;30877 ;31130 ;Following
[1] [0] ;31969 ;32169 ;Following
[3] [2] ;32253 ;32312 ;Following
[3] [2] ;32312 ;32362 ;Approach
[2,3] ;32363 ;32651 ;InGroup
[2,3] ;32695 ;32793 ;WalkTogether
[0,1,4] ;33069 ;33758 ;InGroup
[2] [3] ;33479 ;33553 ;Approach
[2,3] ;33621 ;33757 ;WalkTogether
[2,3] [0,1,4] ;33621 ;33757 ;Approach
[0,1,2,3,4] ;33758 ;34740 ;InGroup
[1,2,3,4] ;34740 ;34810 ;InGroup
[1,2,3] ;34810 ;34870 ;InGroup
[4] [1,2,3] ;34870 ;34930 ;Split
[1,2] ;34870 ;34930 ;InGroup
[0] [1,2,3,4] ;34761 ;34879 ;Split
[1] [0] ;41867 ;41940 ;Chase
[1] [0] ;42321 ;42421 ;Following
[1] [0] ;42732 ;42793 ;Chase
[1] [0] ;44382  ;44447 ;Chase
[2] [1] ;44399  ;44447 ;Following
[2,4] ;44400  ;44447   ;RunTogether
[2,4,5]    ;44401  ;44447   ;RunTogether
[2,4,5] [1]   ;44401  ;44447   ;Following
[2,4,5] [0]   ;44401  ;44447   ;Following
[1,2,4,5] [0] ;44447  ;44576   ;Fight
[0] [1] ;44646  ;44922   ;Ignore
[0,1] ;46306  ;46375   ;RunTogether
[2] [0,1]     ;46322  ;46375   ;Chase
[4] [0,1]     ;46330  ;46375   ;Chase
[2,4] ;46330  ;46375   ;RunTogether
[5] [0,1]    ;46334  ;46375   ;Chase
[2,4]      ;46334  ;46375   ;RunTogether
[5] [2,4]    ;46334  ;46375   ;Following
[0,1,2]      ;50359  ;50561   ;WalkTogether
[0,1] ;50359  ;50643   ;WalkTogether
[4,5] ;50421  ;50643   ;WalkTogether
[2] [4,5]    ;50522  ;50611   ;Approach
[0,1] [2,4,5] ;50656  ;50727   ;Approach
[2] [5]      ;50727  ;50803   ;Fight
[0,1] [4]    ;50727  ;50803   ;Fight
